编号,rain,pore,micro,deep
69,0.1,81.9,1.0,36.414
70,1.2,79.29,0.0,31.75
71,0.0,80.2,1.0,30.917
72,0.0,79.42,3.0,35.346
73,0.0,79.09,1.0,30.011
74,0.8,78.51,1.0,30.985
75,0.0,79.21,0.0,33.973
76,0.0,75.65,1.0,30.811
77,17.2,84.35,0.0,43.843
78,0.0,84.26,1.0,36.528
79,16.4,90.69,1.0,44.602
80,0.0,91.43,3.0,40.914
81,0.0,90.42,0.0,34.719
82,0.2,87.81,0.0,35.113
83,0.0,88.21370248709546,1.0,39.169
84,4.8,88.15,0.0,33.989
85,0.2,88.54,2.0,39.162
86,8.4,90.89,0.0,39.805
87,0.0,88.64,0.0,40.106
88,0.0,89.18,0.0,36.473
89,0.7,88.99,1.0,35.073
90,0.0,87.6,1.0,37.605
91,0.5,87.31,0.0,35.217
92,0.0,85.4,0.0,33.586
93,0.0,87.68,1.0,38.122
94,0.0,85.96,0.0,38.473
95,2.1,85.77,0.0,39.41
96,0.0,86.23,1.0,34.846
97,3.0,84.66,1.0,34.635
98,0.0,84.7,1.0,34.264
99,0.3,84.05,1.0,33.51
100,0.0,83.74,0.0,33.844
101,0.15000000000000002,82.23,1.0,34.435
102,0.1,82.36,0.0,35.08
103,0.7,80.73,1.0,36.011
104,0.0,80.32,0.0,33.901
105,0.0,80.95,2.0,39.898
106,0.4,77.49,0.0,34.259
107,0.2,76.72,0.0,29.794
108,0.0,77.09,0.0,31.996
109,0.0,76.0,0.0,35.846
110,0.0,74.66,3.0,30.064
111,0.0,73.93,0.0,31.234
112,0.0,73.59,2.0,29.276
113,0.0,72.57,0.0,25.575
114,1.3,72.04,0.0,33.074
115,8.7,74.16,0.0,32.506
116,0.0,74.15,1.0,30.085
117,1.1,73.98,1.0,30.925885165477606
118,0.0,71.76,0.0,29.463
119,0.0,70.88,0.0,24.739
120,11.4,76.0,0.0,36.215
121,1.9,78.97,5.0,31.091
122,0.0,77.46,0.0,31.18
123,0.0,75.98,1.0,29.561
124,10.2,78.49986519900126,0.0,39.01
125,0.4,80.94,0.0,34.587
126,0.0,79.79,1.0,32.923
127,0.2,80.94,0.0,35.409
128,0.0,78.28,1.0,33.976
129,0.3,78.67,5.0,33.864
130,0.25,80.2,1.0,34.06
131,0.8,80.34,0.0,34.156
132,12.2,86.35,1.0,36.431
133,0.0,85.07,1.0,33.949
134,0.8,86.01,0.0,33.042
135,0.0,84.4186326210556,0.0,34.50090373136014
136,0.1,82.8,1.0,33.592
137,0.0,84.2,0.0,32.001
138,0.0,81.84,0.0,33.796
139,0.1,81.68,1.0,31.667
140,0.1,83.7,1.0,33.708
141,0.0,80.77,1.0,38.025587972001205
142,23.4,91.85,2.0,40.949
143,17.0,100.44,0.0,47.339
144,11.8,104.12,1.0,46.327
145,0.3,104.25,0.0,41.711
146,0.0,102.86,3.0,40.606
147,0.0,101.49,4.0,42.313
148,0.6,100.45,0.0,41.893
149,0.3,99.860083829412,1.0,37.378
150,0.4,99.28,0.0,39.672
151,0.2,98.34,1.0,39.193
152,0.0,95.61,1.0,38.771
153,0.3,95.06,1.0,39.087
154,0.0,96.14,3.0,39.633
155,0.2,94.94,2.0,37.854
156,0.0,94.63,1.0,36.619
157,1.0,93.9,0.0,36.625
158,0.0,93.13,1.0,37.82
159,0.4,91.8,2.0,35.004
160,12.3,95.36,1.0,42.258
161,0.3,94.14,0.0,36.975
162,0.0,93.08,1.0,39.978
163,0.4,93.8,0.0,35.573
164,9.2,95.78,0.0,43.987
165,0.4,96.5,1.0,39.346
166,0.2,94.89,2.0,38.032
167,0.3,92.9,1.0,41.662
168,2.4,95.06,2.0,35.598
169,0.1,91.36,3.0,37.257
170,10.8,98.27,1.0,42.384
171,0.0,95.27,2.0,41.108
172,0.0,94.91,0.0,39.209
173,0.2,95.03,1.0,40.28
174,0.0,92.28,3.0,40.251
175,5.0,93.34,1.0,41.387
176,3.7,98.02,1.0,42.927
177,0.0,93.57,3.0,39.52163980814127
178,0.0,94.22,1.0,38.042
179,0.0,92.9,3.0,38.175
180,0.0,90.8,0.0,38.923
181,0.0,91.34,1.0,35.552
182,0.6,89.60695790200913,1.0,37.818
183,0.0,87.05,0.0,35.515
184,13.0,93.25,1.0,40.735
185,0.0,93.36,2.0,38.075
186,1.0,92.52,0.0,40.464
187,10.2,93.54128621275706,1.0,41.19
188,0.0,94.39,0.0,42.942
189,0.0,95.02,2.0,38.491
190,0.2,94.64,0.0,40.693
191,0.5,92.34,0.0,35.834
192,4.4,93.89,2.0,37.132
193,0.5,92.41,3.0,36.997
194,0.2,93.74,1.0,38.27341752186323
195,0.5,91.55,0.0,36.665
196,1.5,91.01,1.0,39.167
197,7.5,96.57,3.0,42.248
198,0.4,94.62,1.0,37.051
199,0.5,93.35,0.0,36.549
200,0.0,94.29,1.0,40.091
201,0.0,93.53,0.0,39.032
202,0.0,91.17,2.0,37.286
203,0.0,90.6,0.0,41.566
204,0.5,90.32,1.0,34.535
205,0.0,89.21,3.0,33.835
206,0.4,87.33,0.0,35.181
207,17.9,95.24,0.0,47.679
208,0.0,93.6681349258102,1.0,39.48
209,0.3,93.21966911308334,1.0,36.614
210,0.0,92.98,0.0,38.52
211,0.0,90.84,0.0,36.589
212,0.3,91.75,1.0,37.98503983280913
213,0.5,90.33,1.0,35.448
214,9.8,92.93,2.0,42.134
215,0.0,93.19,1.0,36.596
216,0.6,90.7,4.0,34.513
217,0.0,93.17761615635689,1.0,34.687
218,12.8,95.46,0.0,41.681
219,0.55,94.58,0.0,41.227
220,0.0,93.67,0.0,37.068
221,0.6,93.71,2.0,37.739
222,13.1,98.27,0.0,42.14
223,2.7,100.41,0.0,46.247
224,0.4,98.47,0.0,39.285
225,0.0,96.63,0.0,38.353
226,4.4,98.87,1.0,39.813
227,0.1,98.35,0.0,41.192
228,0.0,96.38,0.0,35.334
229,0.1,93.78,0.0,41.596
230,0.0,94.85,0.0,39.87
231,0.2,92.31,1.0,36.627
232,18.0,101.4,0.0,49.015
233,1.3,101.88,1.0,37.222
234,0.0,100.83,0.0,40.233
235,0.0,99.21652326742559,1.0,43.377
236,0.0,97.65,1.0,44.492
237,0.0,96.83,0.0,37.959
238,0.1,94.16,0.0,38.814
239,0.5,95.7,2.0,37.9
240,0.0,94.99,3.0,33.907
241,14.6,102.42,0.0,44.378
242,2.3,101.11,0.0,43.395
243,0.5,100.06,0.0,43.129
244,0.5,98.65,0.0,40.39995627587951
245,0.1,97.66,1.0,40.15354575758392
246,0.0,98.33,1.0,33.149
247,0.4,96.62,0.0,38.406
248,8.9,101.2,2.0,44.347
249,0.1,101.54,1.0,41.911
250,0.0,99.77,1.0,41.396
251,0.2,98.98,2.0,39.596
252,5.0,101.42,0.0,40.21
253,0.0,100.65,3.0,46.121
254,0.2,98.04,1.0,39.118
255,12.3,103.46,4.0,44.196
256,8.0,106.63,2.0,48.284
257,0.2,104.08,2.0,36.311
258,0.0,103.04,0.0,41.437
259,0.1,103.52,1.0,41.437
260,0.6,100.83,2.0,41.801
261,0.1,99.27,1.0,38.397
262,0.1,100.03,1.0,41.689
263,0.1,97.62,0.0,37.909
264,0.1,95.66,0.0,44.069
265,0.1,94.86,0.0,40.805
266,0.0,93.22,0.0,37.232
267,0.4,94.61,1.0,36.719
268,0.0,89.85,0.0,39.484
269,4.8,94.12,1.0,38.058
270,4.2,93.63,1.0,38.962
271,14.3,99.57,2.0,39.463580153945365
272,0.5,98.26,0.0,41.659
273,5.8,101.04,1.0,38.675
274,0.0,97.79,4.0,37.211
275,0.5,97.25,0.0,40.898
276,0.0,97.42,1.0,39.377
277,2.7,95.52,0.0,44.319
278,0.3,95.73,0.0,38.616
279,0.2,97.16,0.0,42.572
280,0.0,95.67,0.0,38.326
281,0.0,95.77,0.0,38.286
282,0.4,93.22,3.0,38.97511870334032
283,0.0,93.3,0.0,39.876
284,0.3,92.78,0.0,38.52649824647723
285,0.2,94.05,0.0,37.955
286,0.7,92.712626990527,2.0,36.46
287,0.0,91.75,0.0,37.900760776366106
288,0.8,90.42838102324491,1.0,38.87
289,0.1,88.91,0.0,37.331
290,0.0,89.20499678299478,0.0,35.12
291,2.7,89.46,2.0,37.106
292,0.7,87.84,2.0,37.764
293,3.4,89.09,3.0,39.179
294,2.5,90.2,1.0,39.75
295,0.0,88.1,2.0,37.153
296,0.3,88.79,0.0,36.745
297,5.3,88.56,1.0,40.631
298,0.3,88.67,0.0,34.018
299,0.0,86.75,0.0,34.138
300,0.5,85.67708358272752,0.0,34.5746552884744
301,0.2,84.26,0.0,30.657
302,0.0,85.16,0.0,36.358
303,1.4,83.07,1.0,33.689
304,0.2,82.29,1.0,33.217
305,0.0,78.98,2.0,29.176
306,0.3,79.13,1.0,33.416
307,0.4,78.84,1.0,29.141
308,0.0,77.1,1.0,31.783
309,0.6,76.63353261265421,2.0,31.5
310,0.1,75.88,1.0,30.685
311,0.2,74.8,0.0,31.456
312,19.8,84.99,0.0,39.627
313,0.2,83.42,2.0,34.269
314,0.1,84.04,1.0,33.976
315,0.0,82.84,1.0,35.689
316,0.3,82.54,1.0,30.798
317,0.4,80.12,1.0,29.27
318,0.15000000000000002,79.84,2.0,29.481
319,0.0,77.81,1.0,31.983
320,0.0,77.57,2.0,33.874
321,4.0,77.87,0.0,32.194
322,0.0,78.52,1.0,34.646
323,0.0,78.05,2.0,33.57
324,2.3,77.55,0.0,32.427
325,0.0,76.499483663168,2.0,31.389388550966274
326,0.1,75.48,0.0,30.03
327,0.0,74.55,1.0,30.055
328,0.15000000000000002,75.59,0.0,31.015
329,0.2,76.55,0.0,31.482
330,0.3,73.43,0.0,29.775305857995676
331,0.2,72.35,0.0,29.586
332,0.5,72.26,1.0,25.689
333,3.1,72.25,0.0,28.308
334,0.0,72.95,0.0,29.424
335,0.6,69.39,1.0,28.575099804383324
336,0.0,69.35,0.0,27.381
337,0.0,69.2,2.0,28.902
338,0.5,67.82,0.0,28.381
339,0.4,67.08,1.0,25.715
340,0.0,67.2,2.0,27.626
341,0.5,65.47,1.0,26.191
342,1.1,65.55,1.0,26.481
343,5.7,66.93,0.0,29.757
344,0.0,66.95,2.0,31.977
345,0.1,68.55,1.0,29.763
346,0.2,64.78,0.0,28.247
347,0.0,65.41,0.0,24.992
348,2.1,71.66151091025316,3.0,30.753
349,25.8,77.78,1.0,40.996
350,0.0,77.37,1.0,31.6
351,22.3,88.61,0.0,41.598
352,3.3,87.01,0.0,33.704
353,0.0,85.93,1.0,34.865982429861006
354,0.5,85.53,1.0,35.32
355,0.0,85.07,1.0,36.837
356,0.6,82.65,4.0,34.148
357,0.3,83.07,1.0,34.315
358,11.1,88.3,1.0,37.334
359,0.0,88.43,1.0,35.423
360,0.0,85.26,1.0,33.571
361,0.0,84.62,0.0,36.178
362,0.0,84.84,1.0,36.113
363,0.7,83.89,2.0,36.905
364,6.1,85.17,3.0,38.694
365,0.1,82.93,1.0,38.597
366,0.4,82.69,1.0,33.781
367,10.2,88.12,1.0,41.803
368,1.2,87.64,0.0,34.829
369,0.0,88.34,0.0,31.336
370,5.7,89.32,0.0,34.04
371,0.0,88.47,0.0,36.239
372,0.0,85.26,0.0,35.315
373,9.0,91.67,2.0,37.862
374,0.0,87.93,0.0,42.262
375,0.0,88.96,0.0,41.278
376,4.1,90.33,4.0,38.615
377,0.1,90.51,1.0,38.123
378,0.0,88.4,0.0,39.583
379,0.1,87.89,2.0,37.824
380,5.6,89.17,0.0,41.511
381,0.4,88.95,0.0,34.448
382,0.0,89.14,0.0,36.93
383,0.0,88.58,0.0,35.303
384,0.0,89.46,1.0,32.71
385,12.2,94.42,1.0,42.093
386,0.5,92.69,0.0,34.454
387,0.0,90.29,1.0,37.021
388,0.2,89.34,0.0,38.588
389,3.1,90.27,2.0,40.373
390,0.0,88.46,1.0,35.194
391,0.0,88.21,0.0,37.881
392,0.2,88.32,1.0,37.04375939333618
393,0.0,87.89,0.0,33.901
394,5.8,87.87251687669206,0.0,41.281
395,0.0,87.9,0.0,35.696
396,0.8,87.26,0.0,42.45
397,1.2,86.59,2.0,34.803
398,0.0,86.04,2.0,35.183
399,0.0,83.15,1.0,35.213315113335554
400,0.0,83.8,2.0,34.978
401,0.3,82.36,0.0,32.818
402,0.0,81.99,2.0,32.253
403,0.0,81.58,1.0,32.694
404,0.2,79.68,2.0,33.375
405,0.0,78.76,1.0,30.526
406,6.1,80.94,3.0,35.406
407,0.0,79.77,2.0,32.554
408,0.0,80.03,2.0,34.752
409,0.0,77.93,0.0,31.386
410,0.0,77.85,2.0,36.931
411,0.0,76.12,1.0,32.427
412,8.2,80.79,1.0,37.308
413,2.3,80.29,2.0,35.557
414,0.0,79.35,0.0,36.471
415,12.5,84.6,0.0,37.924
416,0.0,84.1,1.0,35.008
417,0.4,83.8,0.0,34.744
418,0.6,82.93,3.0,35.337
419,10.9,86.31,1.0,38.797
420,0.9,86.25,0.0,32.12
421,0.0,83.67,3.0,36.149
422,0.0,84.67,0.0,31.111
423,0.2,82.71,0.0,31.355
424,0.0,84.35,0.0,37.255
425,0.0,82.37,0.0,30.561
426,10.4,85.68,3.0,36.983
427,0.0,84.99,2.0,36.582
428,0.0,82.73,1.0,33.315
429,0.6,84.61,2.0,36.696
430,0.0,82.31,0.0,32.638
431,0.0,85.86,0.0,41.043
432,0.0,83.67,4.0,36.082
433,0.4,82.24,1.0,37.906
434,0.0,81.82837084086303,0.0,37.497
435,0.3,81.1,1.0,36.028
436,0.6,81.23,0.0,32.879
437,11.2,84.63,0.0,37.489
438,0.0,85.75,0.0,36.244
439,10.4,88.62,1.0,41.983
440,0.3,89.15,0.0,36.703
441,0.0,87.97353652765594,1.0,36.445
442,0.2,86.72,1.0,37.595
443,0.0,88.45,3.0,34.525
444,0.0,86.99,0.0,35.5
445,0.0,86.57,1.0,33.516
446,0.0,84.48,2.0,39.734
447,0.0,83.8,1.0,34.674
448,0.0,82.3,1.0,33.567
449,0.0,79.38,1.0,30.823
450,0.0,80.18,0.0,35.856
451,0.4,78.18,0.0,33.064
452,0.5,78.9,0.0,32.799
453,0.0,78.01,0.0,34.008
454,3.9,80.27,2.0,30.61
455,0.0,78.87,0.0,30.567
456,0.0,76.37,1.0,30.841
457,7.2,80.27,0.0,36.443
458,0.8,80.72,1.0,30.863
459,0.1,80.69,2.0,30.576
460,0.1,79.34,1.0,34.756
461,0.0,78.36,0.0,32.783
462,5.6,80.06539294055979,0.0,35.757
463,8.5,81.59,2.0,39.261
464,0.0,81.59,2.0,33.355
465,0.0,83.07,1.0,32.152
466,0.0,80.32,2.0,28.483
467,0.0,78.65,0.0,32.001
468,0.2,78.53,0.0,36.235
469,0.0,74.34,1.0,31.16
470,0.5,75.37,1.0,30.892
471,0.3,75.98,1.0,31.336
472,1.2,72.75,2.0,33.847868316968004
473,13.1,81.63,0.0,38.347
474,7.9,82.26,0.0,36.392
475,0.0,80.98,0.0,34.55
476,0.0,81.89,1.0,35.552
477,0.8,80.57,3.0,32.792
478,0.0,79.48,0.0,32.548
479,0.2,77.84,0.0,32.145
480,9.7,81.71,0.0,38.259
481,0.3,81.33,2.0,30.241
482,9.2,86.15,2.0,41.533
483,0.0,84.33,2.0,30.506
484,0.1,81.94,0.0,31.516
485,5.6,85.18,1.0,33.009314003245706
486,0.6,84.77,1.0,31.851
487,0.4,81.99,2.0,33.013
488,0.3,83.99,0.0,34.426
489,0.2,83.23,0.0,32.668
490,0.0,79.03,0.0,32.403
491,0.1,79.89,1.0,28.81
492,0.6,78.86,2.0,28.314
493,0.0,77.69,0.0,30.817
494,6.1,79.04,0.0,34.255
495,0.6,78.74,0.0,34.536
496,0.0,78.2,2.0,33.7
497,0.5,76.08,3.0,33.484
498,0.5,80.46,1.0,34.205
499,0.0,79.86,2.0,32.962
500,0.5,79.4,0.0,35.814
501,0.0,78.57,0.0,29.632
502,11.7,84.12,0.0,39.528
503,19.8,91.2,1.0,38.646
504,0.0,91.32,0.0,35.292
505,0.35,90.4,1.0,39.287
506,16.7,97.21,1.0,43.374
507,0.0,95.36,0.0,40.299
508,5.8,98.27,1.0,41.147
509,1.9,99.3,3.0,44.04
510,0.0,96.05,2.0,38.789
511,0.2,94.44,1.0,41.183
512,0.7,95.14,0.0,37.872
513,8.2,98.0,1.0,47.122
514,0.0,98.15,2.0,39.955
515,22.9,107.74,1.0,39.705
516,0.7,107.2,0.0,43.318
517,0.6,104.88,0.0,38.634
518,0.0,104.6,0.0,40.934
519,0.0,103.46,3.0,41.223
520,5.1,104.04,1.0,42.536
521,0.2,105.54,0.0,39.524
522,0.1,104.36,1.0,42.572334661072695
523,0.0,104.53,0.0,40.24
524,6.4,105.09,1.0,46.428
525,0.0,104.93,1.0,44.514
526,5.7,107.9,0.0,45.471
527,0.0,108.3,1.0,45.255
528,0.0,106.49,0.0,45.238
529,0.0,106.01,3.0,41.315
530,0.0,105.96,1.0,46.062
531,0.8,105.6,0.0,42.088
532,0.0,103.24,0.0,41.753
533,0.7,102.49,1.0,42.01678242403735
534,0.0,102.5,0.0,42.561
535,0.0,101.22,1.0,40.151
536,0.0,100.41,2.0,42.293
537,0.0,100.11,1.0,37.051
538,0.0,98.65,1.0,39.705
539,0.0,98.86,1.0,38.12
540,0.0,98.25,1.0,42.144
541,0.0,96.8,0.0,38.95
542,16.4,102.08,1.0,45.117
543,4.5,104.72,1.0,43.423
544,0.2,101.97,0.0,43.703
545,0.0,102.26,0.0,37.258
546,0.2,101.12,0.0,42.299
547,0.0,99.65,2.0,41.29
548,2.4,98.93073879450081,1.0,40.314
549,0.0,98.1,5.0,40.639
550,0.4,97.52,0.0,37.629
551,0.3,96.19,2.0,38.152
552,0.0,93.2,1.0,35.743
553,0.0,93.82,1.0,38.254
554,0.0,92.68,1.0,40.724
555,0.0,91.97,1.0,38.231
556,0.0,89.56,0.0,36.797
557,1.2,89.72612100476512,1.0,34.65
558,0.5,89.62,1.0,37.962
559,0.0,89.18,0.0,34.423
560,0.0,88.61,3.0,35.739
561,0.0,86.96876481272749,2.0,36.159
562,0.0,85.08,0.0,39.163
563,0.2,86.68,0.0,34.244
564,0.5,83.51,0.0,32.65
565,4.2,83.65,3.0,34.267
566,0.5,82.31,0.0,32.425
567,5.1,82.95,0.0,34.738
568,0.0,82.91,0.0,35.13
569,0.8,83.0,0.0,30.946
570,0.4,80.79,2.0,34.393
571,0.1,80.43,1.0,33.711507058037206
572,0.7,79.04,2.0,34.111
573,0.2,78.49,2.0,31.941
574,0.5,78.45,2.0,28.311
575,8.6,83.08,0.0,34.135
576,0.2,83.01,2.0,35.761
577,10.0,86.66870291030632,1.0,36.148
578,7.3,90.65,2.0,38.749
579,0.0,88.81,1.0,33.194
580,1.2,89.39,2.0,39.094
581,0.0,88.55,0.0,36.447
582,0.3,89.36,0.0,36.651
583,0.2,87.74,1.0,35.372
584,0.0,88.2,2.0,37.145
585,0.1,86.52,0.0,34.683
586,0.0,85.92,0.0,38.368
587,0.0,83.58,2.0,31.912
588,0.0,81.31,0.0,35.831
589,4.4,83.79,0.0,33.863
590,0.0,81.88,0.0,30.858
591,0.0,81.34,3.0,36.984
592,0.3,82.32,0.0,33.317
593,0.2,79.85,0.0,32.373
594,2.7,80.88,3.0,33.22668005009371
595,0.0,82.09,1.0,32.464
596,0.0,78.18,2.0,32.936
597,0.9,79.56,2.0,31.58
598,0.0,77.16,0.0,32.71
599,0.3,75.91,2.0,30.982
600,0.0,75.89,0.0,32.059
601,0.1,75.84,0.0,34.348
602,8.0,76.9190185721384,1.0,35.302
603,0.0,78.21,1.0,28.93
604,0.0,75.73,2.0,31.06
605,9.7,82.05,0.0,33.565
606,0.6,80.42,0.0,37.592
607,0.25,87.88,2.0,41.393
608,0.2,88.54,2.0,38.163
609,0.0,86.58,0.0,36.764
610,0.0,87.59,1.0,33.248
611,0.3,85.26,0.0,32.632
612,0.3,85.81,0.0,31.829
613,9.0,91.47,2.0,39.326
614,6.5,94.4,1.0,38.268
615,6.9,95.91,0.0,44.474
616,0.1,93.78,0.0,37.802
617,0.0,92.74,1.0,37.247
618,0.2,91.96,1.0,36.737
619,0.0,90.9020683123018,0.0,38.241
620,0.9,89.41,2.0,36.497
621,7.8,91.3,1.0,42.017
622,0.0,93.87,2.0,38.95
623,0.9,91.07,1.0,38.235
624,0.0,91.18,1.0,38.023
625,0.1,88.92,0.0,36.153
626,0.0,88.96,0.0,35.054
627,0.0,88.63,1.0,34.131
628,0.0,87.5,2.0,32.645
629,0.2,86.07,1.0,35.512
630,0.3,85.19,1.0,34.92
631,0.0,83.82,1.0,37.748
632,5.6,86.29,1.0,36.108
633,0.0,85.55,0.0,34.034
634,0.0,86.48,0.0,35.544
635,4.6,88.59,0.0,40.712
636,0.0,85.72,1.0,36.165
637,0.5,85.63,0.0,37.694
638,0.0,86.09879905257466,0.0,35.99
639,10.0,86.79,1.0,34.933
640,0.0,84.78,0.0,33.696
641,0.4,84.34,0.0,33.409
642,0.1,85.6,2.0,37.066
643,0.15000000000000002,81.72,1.0,35.847
644,0.2,82.65255909356677,1.0,32.619
645,0.2,83.4,0.0,34.094
646,0.0,81.21,0.0,33.232
647,0.1,80.05353424340723,1.0,30.295
648,0.2,78.72,0.0,34.268
649,0.0,77.98,0.0,35.438
650,0.6,78.05,1.0,34.922
651,0.1,74.55,1.0,30.817
652,1.5,75.37904616967393,0.0,37.013
653,0.2,75.78,2.0,32.654
654,0.1,75.19,0.0,34.47187368351904
655,0.5,75.5,0.0,31.311
656,0.2,82.15966032783602,1.0,32.724
657,0.2,88.72,0.0,44.639
658,3.9,89.81,2.0,36.768
659,0.0,89.03,2.0,33.662
660,0.2,87.84,2.0,35.25458834330103
661,0.0,87.03,0.0,34.173
662,0.0,86.8108662430006,1.0,36.89
663,0.0,86.83,1.0,34.073
664,0.0,84.26,1.0,35.17
665,0.0,83.12,1.0,34.449
666,3.3,84.07,0.0,35.249
667,0.5,83.20441684025373,2.0,33.819
668,0.0,82.56,1.0,32.872
669,0.0,81.78,1.0,36.444
670,0.6,81.17,1.0,31.919
671,0.2,81.32,0.0,31.874
672,0.0,81.67,1.0,36.818
673,0.0,80.08,1.0,35.749
674,20.4,90.97,0.0,36.18468125520067
675,0.0,90.24,0.0,35.777
676,0.5,89.58,2.0,39.766
677,0.0,88.62,1.0,37.512
678,0.5,88.61,2.0,37.38338825262227
679,0.5,87.41,3.0,36.567
680,8.0,90.16,1.0,43.119
681,0.0,87.76,1.0,39.136
682,12.0,93.72,0.0,40.818
683,0.6,94.05,3.0,31.614
684,0.7,92.25,1.0,33.594
685,0.0,90.17,0.0,38.126
686,0.5,90.34,1.0,34.413
687,1.0,90.27,2.0,36.822
688,0.9,88.5,0.0,39.577
689,0.7,86.2,1.0,35.098
690,0.2,84.38,2.0,37.012
691,0.0,83.83257521751793,1.0,34.358
692,0.4,82.88,0.0,36.302
693,0.0,84.15,0.0,35.22635021544674
694,0.3,80.28,2.0,35.416
695,1.5,82.0,1.0,34.133
696,0.5,81.4,3.0,34.371
697,0.3,82.11,0.0,32.241
698,6.7,83.19,0.0,33.744
699,0.3,82.15,1.0,37.072
700,0.0,80.34,0.0,31.031
701,2.1,80.65,1.0,32.374
702,0.3,81.19,2.0,35.495
703,0.0,80.2,1.0,33.659
704,0.3,78.59,2.0,34.121
705,0.0,78.81,1.0,33.726
706,8.9,81.98,1.0,38.239
707,0.1,81.36,0.0,33.424
708,0.2,79.83,0.0,31.885
709,0.2,79.1,0.0,34.012
710,8.2,80.75,1.0,36.382
711,0.2,80.09,1.0,34.881
712,0.0,80.76,0.0,34.722
713,1.3,78.99,2.0,33.59
714,7.3,83.02,1.0,32.542
715,0.0,82.04,1.0,30.326
716,0.2,81.08,1.0,35.383
717,0.0,79.79,0.0,30.321
718,0.0,78.97,1.0,31.791
719,0.0,77.55,0.0,33.132
720,0.0,77.62,3.0,34.055
721,0.0,77.18,1.0,32.033
722,0.0,76.59,1.0,32.553
723,0.5,76.71,1.0,30.667
724,0.0,75.44,1.0,31.093
725,0.0,74.82,0.0,27.29
726,0.0,75.02,2.0,30.702
727,0.4,74.49,2.0,30.978
728,0.05,73.88,0.0,33.466
729,0.1,74.11,0.0,29.507
730,0.7,74.99,3.0,32.498
731,0.4,71.93,1.0,30.647
732,0.3,70.88,4.0,30.18
733,0.0,71.42,1.0,28.188
734,0.0,70.9,0.0,26.827
735,6.8,73.62,0.0,33.62
736,0.0,72.05,1.0,26.292
737,0.1,72.22,1.0,34.733
738,0.0,73.61,2.0,31.382
739,0.0,70.21,2.0,35.053
740,0.2,68.72,0.0,32.469
741,0.0,70.37,1.0,29.046
742,0.3,68.93,0.0,26.938
743,0.0,67.12,1.0,29.878
744,0.0,66.73,1.0,26.154
745,0.0,67.22,0.0,27.191
746,8.7,69.88,0.0,34.545
747,7.1,73.2,3.0,32.012
748,0.3,73.88,0.0,29.955
749,0.0,73.8,1.0,30.846
750,5.0,74.7,0.0,30.43
751,1.7,73.29,2.0,29.242
752,0.3,80.18,0.0,35.807
753,0.0,78.49,0.0,30.57
754,3.6,80.86,0.0,38.415
755,0.0,79.73,4.0,34.605
756,0.3,78.78,1.0,32.971
757,0.0,78.49,0.0,32.336
758,0.1,76.78,0.0,32.06
