编号,rain,pore,micro,deep,surface
161,0.2,73.12,0.0,29.947,86.815
162,0.0,83.26,2.0,34.25,98.47596861551605
163,0.0,74.0,1.0,26.542,87.921
164,0.1,80.71,0.0,31.87,93.153
165,0.7,81.71,0.0,32.077,91.061
166,0.0,94.82,0.0,40.972,108.114
167,0.2,58.61,3.0,25.673,83.276
168,0.0,67.16,2.0,29.283,89.44
169,0.0,72.2,2.0,30.22,90.269
170,0.0,75.08,0.0,32.276,90.579
171,0.0,93.96,2.0,36.777,106.491
172,0.2,74.08,2.0,30.366,95.162
173,0.0,76.83,0.0,33.64103103826649,91.821
174,0.5,89.13,4.0,36.105,98.47689493863727
175,0.2,84.57,1.0,33.991,95.244
176,0.3,75.63,0.0,31.614,89.257
177,0.0,65.6,1.0,24.423,79.99
178,0.1,86.74,0.0,33.795,100.607
179,0.0,75.45,0.0,33.097,98.47733881798034
180,15.2,79.55583124003773,1.0,42.008,128.055
181,0.0,79.55590250463491,1.0,29.928,85.026
182,0.3,96.43,0.0,40.193,107.476
183,4.5,103.34,4.0,48.275,139.191
184,0.0,67.83,0.0,33.798463527942715,80.993
185,0.0,69.3,1.0,32.184,87.187
186,0.0,75.57,1.0,31.811,91.541
187,0.0,77.82,2.0,30.771,92.092
188,0.1,82.67,1.0,36.157,99.227
189,0.4,73.15,0.0,28.291,98.47817842852442
190,2.4,91.62,0.0,38.317,108.363
191,8.0,92.99,1.0,40.909,128.228
192,0.0,76.52,1.0,30.076,92.503
193,0.1,85.89,2.0,37.368,107.397
194,0.1,92.31,1.0,39.618,108.927
195,0.4,74.01,0.0,32.095,87.754
196,7.2,77.39,1.0,32.93,98.47871240299999
197,0.0,94.08,0.0,41.642,107.934
198,0.0,70.66,0.0,28.372,80.896
199,0.0,95.48,0.0,36.708,105.147
200,0.0,59.62,0.0,23.131,73.474
201,0.2,74.78,1.0,31.451,88.296
202,0.0,73.04,3.0,27.094,94.937
203,0.0,59.09,2.0,22.669,76.222
204,0.1,81.84,2.0,32.546,94.238
205,6.2,79.91,4.0,33.33602907079708,114.266
206,0.0,104.89,1.0,43.952,117.674
207,0.0,64.4,0.0,24.445,77.596
208,4.5,90.09,2.0,40.968,119.32
209,0.0,59.08,3.0,24.808,85.314
210,6.9,83.3,2.0,38.103,115.343
211,0.3,79.55796875278888,2.0,30.816,93.34
212,0.0,74.41,1.0,31.843,91.755
213,0.6,76.17,2.0,31.241,96.512
214,7.5,69.25,1.0,34.188,102.125
215,6.5,80.03,1.0,37.443,109.464
216,0.0,77.1,2.0,31.119,93.28
217,0.5,69.97,1.0,31.601,89.587
218,0.6,86.4,1.0,33.449497520165465,107.243
219,3.6,68.57,4.0,30.251,98.55
220,0.0,96.99,2.0,40.927,114.103
221,0.0,67.62,2.0,24.913,85.884
222,0.0,78.18,0.0,32.936,92.909
223,0.2,74.88,1.0,31.854,94.244
224,0.7,84.6,0.0,34.561,99.711
225,0.1,79.55896827604215,3.0,34.959,103.305
226,0.1,86.4,3.0,36.809,104.679
227,0.1,76.15,3.0,37.736,111.392
228,0.8,63.01,0.0,23.207,75.828
229,0.0,95.51,4.0,40.886,116.99
230,0.0,79.55932862855485,2.0,29.308,93.446
231,0.9,103.76,1.0,42.791,116.794
232,0.2,103.0,0.0,40.913,113.073
233,0.0,84.09,0.0,30.655,92.803
234,0.3,79.55960616853555,1.0,32.64,97.733
235,0.0,82.98,1.0,34.451,95.376
236,0.4,73.64,0.0,29.441,84.952
237,1.0,87.6,2.0,40.941,103.928
238,6.0,94.56,4.0,37.79,121.64
239,0.0,77.81,0.0,30.743,89.719
240,0.0,62.58,1.0,28.506,82.307
241,0.0,79.16,1.0,32.27,94.2
242,0.0,85.8,1.0,33.6797925191444,101.949
243,0.0,65.12,0.0,25.437,78.828
244,0.3,82.22,1.0,33.703015442956364,98.384
245,1.0,95.09,0.0,37.675,107.999
246,0.1,79.24,1.0,32.346,96.298
247,9.9,99.3,0.0,43.524,127.568
248,0.0,91.8,1.0,36.846,107.762
249,8.5,85.66,2.0,40.852,125.752
250,0.0,81.65,2.0,32.996,98.956
251,0.0,72.68,0.0,32.334,86.236
252,25.2,92.96,0.0,47.342,98.48312992948726
253,0.0,66.91,0.0,27.61,82.841
254,0.2,51.55,1.0,24.861,77.238
255,0.5,67.17,1.0,28.223,82.243
256,0.0,85.21,1.0,36.529,99.813
257,0.1,84.5,1.0,33.505451491153266,94.025
258,0.0,61.06,2.0,24.46,81.545
259,16.4,80.65,1.0,39.897,127.221
260,1.8,76.79,1.0,31.205,97.152
261,0.3,87.24,1.0,40.962,106.014
262,0.3,87.72,2.0,37.834,106.013
263,0.9,63.52,2.0,28.471,86.276
264,1.2,59.58,1.0,27.415,83.118
265,1.1,84.46,1.0,31.372,98.27
266,0.3,94.01,2.0,39.656,115.158
267,0.2,77.11,0.0,33.036,92.875
268,0.0,76.2,2.0,32.396,93.603
269,0.5,81.82,3.0,32.714,100.011
270,0.2,80.41,0.0,33.32089582238532,99.532
271,0.0,57.9,2.0,23.716,79.554
272,0.2,70.63,3.0,29.587,90.892
273,0.0,97.15,3.0,43.82,114.942
274,0.0,88.46,0.0,32.175,98.978
275,0.0,71.77,0.0,28.362,84.863
276,0.6,71.55,2.0,31.84,91.146
277,0.2,82.72,3.0,31.596,101.837
278,0.0,99.11,0.0,42.231,113.859
279,0.0,87.88,1.0,34.421,103.808
280,0.1,94.22,0.0,33.33126444090402,102.131
281,0.0,77.73,0.0,30.702,88.632
282,0.0,81.04,1.0,34.728,97.324
283,0.2,54.07,0.0,21.038,70.151
284,5.5,54.02,1.0,23.669,80.771
285,0.2,67.59,1.0,27.634,84.286
286,0.4,96.32,1.0,42.526,115.196
287,0.3,79.57,1.0,35.17,97.416
288,0.1,73.24,1.0,36.524,94.045
289,0.35,85.14,2.0,37.746,98.81
290,0.9,73.37,2.0,31.398,92.832
291,5.6,79.56346827708221,1.0,43.17,118.236
292,1.3,76.75,2.0,33.599,98.252
293,0.0,60.86,4.0,27.564,86.9
294,0.35,102.6,0.0,49.666,135.998
295,0.0,85.13,1.0,34.999,97.908
296,0.6,61.02,1.0,24.17,75.324
297,0.0,86.65,3.0,35.162,104.596
298,0.0,79.56396497265905,3.0,36.271,118.932
299,0.0,89.09,1.0,36.44,104.132
300,0.6,76.28,0.0,35.122,98.487176521114
301,0.4,79.56417656582916,2.0,27.91,90.244
302,0.0,82.39,0.0,35.418,96.984
303,4.7,81.0,3.0,33.007,106.729
304,0.0,75.18,1.0,29.16,84.819
305,0.4,93.87,1.0,36.65,108.677
306,0.0,90.12,1.0,38.405,106.456
307,0.5,74.15,1.0,28.76,87.021
308,0.2,51.9,1.0,20.721,70.406
309,0.3,100.08,2.0,41.546,117.363
310,0.0,82.59,2.0,34.268,98.31
311,0.0,74.13,0.0,30.431,86.925
312,0.8,66.11,1.0,28.928,84.636
313,8.8,68.55,0.0,32.093,98.569
314,0.0,54.75,2.0,21.147,73.174
315,0.2,76.82,0.0,31.025,89.074
316,0.1,83.81,3.0,35.323,103.052
317,0.1,83.63,2.0,37.599,104.01
318,0.1,60.88,1.0,33.46475830200972,75.595
319,0.3,88.4,0.0,32.806,98.233
320,0.0,82.62,2.0,37.424,104.875
321,0.0,73.83,1.0,29.028,89.644
322,0.0,79.56567698846591,0.0,43.26,116.702
323,0.0,93.38,2.0,38.657,110.324
324,0.7,76.85,2.0,34.722,96.462
325,0.0,80.72,2.0,32.914,98.48957081893052
326,0.0,95.13,4.0,36.529,115.246
327,0.6,66.36,1.0,28.535,85.551
328,0.0,71.87,4.0,33.209,98.094
329,0.0,76.81,2.0,30.493,91.052
330,0.3,96.32,1.0,38.561,110.573
331,0.8,85.74,2.0,37.993,107.929
332,0.0,63.72,3.0,26.68,89.025
333,0.0,84.23,0.0,33.093,96.648
334,0.5,94.25,2.0,39.725,113.142
335,0.4,91.92,0.0,39.053,106.386
336,7.9,100.13,1.0,46.517,131.34
337,0.0,68.87,2.0,28.532,83.503
338,0.0,63.01,2.0,27.185,83.798
339,0.4,71.8,2.0,33.757,93.958
340,0.3,83.11,1.0,32.264,96.757
341,0.6,67.05,2.0,27.415,80.468
342,4.7,84.88,3.0,34.322,111.183
343,0.6,89.21,1.0,38.166,98.49131441315852
344,0.0,74.62,2.0,29.298,89.123
345,0.0,79.56733816342158,2.0,26.157,88.627
346,0.0,91.3,0.0,37.306,104.578
347,0.8,92.45,1.0,37.952,104.135
348,0.0,73.16,2.0,28.22,88.477
349,0.1,80.1,4.0,32.776,100.552
350,0.0,84.54,3.0,37.508,108.616
351,0.0,77.36,0.0,29.877,91.345
352,22.8,91.14,1.0,47.196,154.693
353,4.5,90.97,2.0,36.969,113.273
354,0.7,98.42,1.0,38.962,110.265
355,0.0,79.56803582524043,0.0,21.608,67.21
356,5.6,80.53,1.0,32.722,106.481
357,20.2,79.56816935170451,0.0,42.807,138.225
358,0.5,69.38,3.0,29.046,87.582
359,0.2,69.96,2.0,29.352,89.106
360,0.0,76.24,2.0,28.02,90.638
361,3.2,79.56844047361895,4.0,38.107,111.256
362,0.0,70.51,2.0,30.359,86.806
363,0.0,71.43,0.0,30.481,85.313
364,0.1,62.52,1.0,25.018,78.888
365,0.0,75.97,2.0,29.889,93.675
366,0.0,79.56879110217297,0.0,31.608,92.15
367,0.0,88.68,2.0,37.607,103.051
368,5.4,81.97,1.0,32.82181292624834,107.295
369,0.2,93.56,1.0,39.432,103.861
370,0.0,91.9,2.0,35.723,104.762
371,0.0,62.18,1.0,24.294,78.802
372,0.0,60.25,2.0,24.045,82.855
373,8.6,81.17,1.0,36.003,109.654
374,0.3,79.5693550855998,2.0,36.194,102.64
375,0.0,90.02,1.0,38.857,106.597
376,0.2,66.29,2.0,25.494,83.906
377,0.0,58.02,1.0,28.855,79.205
378,0.2,91.45,3.0,38.718,114.538
379,0.0,70.15,2.0,28.306,89.901
380,0.9,99.45,2.0,36.188,110.827
381,1.0,76.44,0.0,32.773,98.49469591837163
382,0.0,77.76,2.0,30.051,96.176
383,0.7,80.74,1.0,34.461,95.84
384,0.0,88.04,1.0,37.231,99.925
385,0.0,83.02,2.0,32.686,98.49506702424443
386,5.6,90.62,1.0,38.055,115.388
387,0.5,58.97,1.0,28.075,79.024
388,0.1,82.59,1.0,34.491,98.796
389,0.0,65.93,1.0,29.043,84.0
390,1.3,62.78,0.0,28.078,77.704
391,0.3,53.54,3.0,23.953,79.342
392,6.6,66.4,3.0,29.39,103.209
393,0.4,87.26,2.0,33.395,101.85
394,0.0,74.87,1.0,32.63757515936182,98.503
395,0.0,77.1,0.0,33.673,94.429
396,1.1,87.65,0.0,34.908,97.943
397,0.3,93.51,1.0,36.892,105.427
398,12.4,92.72,1.0,40.565,129.817
399,0.1,96.32,0.0,36.791,106.224
400,0.4,63.07,0.0,26.158,79.151
401,0.0,78.74,0.0,33.01,93.096
402,3.8,69.26,3.0,31.781,96.236
403,0.3,53.26,3.0,24.757,78.982
404,0.0,77.83,2.0,29.033,92.812
405,0.0,84.85,3.0,36.861,106.595
406,0.05,102.43,3.0,42.183,98.49722139791125
407,0.0,73.79,2.0,27.57,91.526
408,0.4,94.0,2.0,40.092,114.346
409,0.0,83.83,0.0,34.84,95.767
410,0.0,73.07,2.0,27.282,90.644
411,0.1,70.83,0.0,30.156,84.459
412,0.2,81.51,0.0,35.637,95.32
413,0.1,91.43,5.0,41.56,120.041
414,5.9,72.05,1.0,33.853,102.419
415,0.0,91.36,5.0,37.314,117.622
416,0.1,70.45,1.0,30.836,95.413
417,0.1,57.99,1.0,21.911,73.07
418,0.0,74.47,3.0,29.931,94.477
419,0.9,67.3,1.0,26.865,83.587
420,0.0,80.43,1.0,34.961,100.137
421,0.0,80.27,0.0,32.621,92.795
422,0.0,82.44,1.0,33.693,98.446
423,0.7,88.8,1.0,28.061,98.435
424,0.0,71.19,2.0,30.053,90.863
425,0.3,59.41,2.0,24.637,82.504
426,1.1,68.51,2.0,26.216,90.429
427,0.05,84.88,1.0,34.984,97.705
428,0.2,90.88,1.0,36.953,98.49969015631886
429,0.0,57.8,2.0,27.923,84.076
430,0.0,71.63,1.0,28.714,89.019
431,0.0,93.46,1.0,39.606,107.931
432,0.1,89.66,2.0,36.539,107.321
433,0.1,79.57378154781324,0.0,32.63139996432193,115.499
434,18.8,64.45,1.0,29.037,110.377
435,0.0,77.05,1.0,33.803,100.75
436,0.1,90.98,1.0,34.871,113.424
437,0.0,94.37,1.0,35.283,107.724
438,0.4,76.0,2.0,33.684,97.049
439,0.4,109.16,1.0,46.734,124.599
440,0.1,79.41,2.0,32.707400594603044,93.856
441,0.1,61.44,3.0,29.264,87.678
442,0.8,89.66,1.0,36.654,106.865
443,5.6,55.74,5.0,26.71,89.584
444,0.0,93.2,2.0,36.214,107.625
445,0.0,78.68,0.0,33.374,91.625
446,0.0,79.11,2.0,29.927,98.176
447,0.1,84.59,1.0,35.459,99.79
448,0.0,77.26,1.0,29.645,92.081
449,0.2,81.35,1.0,29.447,94.685
450,0.0,85.26,3.0,35.526,100.86
451,0.2,62.1,0.0,24.09,75.273
452,14.9,61.81,3.0,30.52,112.646
453,0.6,81.81,3.0,34.42,98.332
454,0.4,64.29,3.0,27.377,87.856
455,0.0,79.56,1.0,31.967,93.081
456,0.0,92.95,0.0,36.847,104.164
457,0.0,85.91,1.0,39.113,104.644
458,0.5,71.42,2.0,28.374,89.198
459,3.3,78.72,0.0,34.42,98.50323613095063
460,0.4,62.8,1.0,23.631,98.50335251801621
461,0.5,94.06,2.0,36.456,108.072
462,0.5,72.0,0.0,27.59,86.084
463,0.2,71.13,1.0,30.49,88.511
464,0.0,74.56,2.0,29.441,91.664
465,0.0,69.3,0.0,28.523,98.50394207158858
466,0.0,82.62,2.0,36.849,100.128
467,0.0,88.47,4.0,35.336,110.975
468,0.1,100.69,5.0,32.816138132911,122.554
469,2.8,91.02,0.0,37.408,107.459
470,0.5,110.26,3.0,45.106,98.50452326356631
471,0.0,80.19,2.0,31.831,95.732
472,0.3,81.59,0.0,35.618,109.288
473,0.0,87.53,2.0,32.83699524281311,105.344
474,2.2,58.22,0.0,26.602,78.558
475,0.3,101.49,1.0,42.208,116.796
476,0.4,70.91,2.0,28.354,98.50516474952113
477,0.4,93.89,0.0,39.077,105.796
478,1.3,79.57731573902686,2.0,22.726,70.683
479,0.5,79.57739084323792,1.0,36.718,102.361
480,1.4,87.47,1.0,35.387,103.102
481,0.0,65.38,1.0,25.952,85.689
482,0.0,57.02,3.0,25.119,79.595
483,0.0,77.98,2.0,34.711,94.931
484,0.6,80.78,2.0,31.785,98.342
485,0.0,93.3,1.0,40.644,107.561
486,0.1,72.33,0.0,27.332,83.596
487,0.0,72.38,1.0,27.22,88.641
488,0.2,76.76,1.0,30.439,98.50652410850927
489,0.2,75.99,1.0,36.141,106.039
490,0.0,78.31,2.0,32.401,100.627
491,0.5,76.39,1.0,33.12,90.093
492,0.8,74.0,1.0,32.314,93.247
493,0.2,83.15,1.0,32.924509525802115,103.501
494,5.8,79.57854848091617,1.0,27.775,93.172
495,0.2,87.74,0.0,36.019,103.062
496,0.0,76.9,1.0,29.261,90.76
497,12.0,75.55,1.0,32.762,107.337
498,0.0,75.55,0.0,31.775,90.484
499,0.4,78.03,3.0,30.43,99.053
500,0.4,79.57901878627511,2.0,35.714,102.18
501,0.1,70.47,2.0,34.379,95.085
502,0.0,77.44,0.0,34.616,94.596
503,0.6,71.42,1.0,32.18,91.505
504,0.7,84.66,1.0,34.472,100.974
505,0.0,86.78,1.0,33.469,100.275
506,0.1,108.51,0.0,44.937,118.484
507,0.3,87.95,3.0,38.7,111.492
508,0.0,93.47,1.0,40.322,108.934
509,0.0,82.85,0.0,32.357,95.908
510,0.5,100.19,2.0,43.704,121.366
511,8.6,79.42,1.0,31.23,98.50933507109899
512,5.8,93.19,1.0,41.187,117.466
513,0.0,79.580019635812,2.0,31.523,91.122
514,0.0,71.39,1.0,30.958,86.707
515,0.0,83.79,2.0,32.759,98.50975825940881
516,0.1,70.38,1.0,31.212,90.24
517,0.0,60.9,0.0,27.908,98.50997690073832
518,0.0,71.07,0.0,26.377,80.729
519,0.0,68.14,2.0,29.584,84.198
520,0.0,77.14,2.0,31.621,94.627
521,0.0,87.89,0.0,39.147,104.44
522,0.0,70.15,1.0,25.632,85.124
523,0.0,85.15,0.0,35.626,97.943
524,0.0,83.28,0.0,35.831,98.348
525,0.6,62.93,1.0,24.325,78.838
526,0.0,65.99,2.0,29.527,85.812
527,0.0,82.79,0.0,34.04,96.303
528,0.0,72.78,3.0,30.93,91.564
529,0.4,75.24,3.0,33.94,99.429
530,0.15,70.77,0.0,31.952,86.039
531,0.0,103.86,2.0,43.146,98.51174114272077
532,2.5,85.55,2.0,35.781,109.189
533,0.3,95.21,0.0,37.208,98.51201646111356
534,0.7,89.02,2.0,35.079,106.015
535,0.0,66.68,2.0,28.373,88.475
536,0.8,79.43,0.0,32.94,94.152
537,5.3,77.97,1.0,37.612,109.773
538,0.0,74.91,0.0,32.631,90.359
539,0.0,79.56,2.0,32.223,98.189
540,0.0,80.08,3.0,33.291,104.666
541,0.0,78.05,0.0,34.426,96.441
542,0.0,78.27,2.0,32.271,92.858
543,0.2,78.87,1.0,29.955,94.923
544,0.0,64.28,1.0,23.3,78.715
545,0.0,75.7,0.0,30.945,87.967
546,0.0,74.37,1.0,30.759,89.504
547,0.0,95.42,2.0,32.58091411434095,114.5
548,0.0,69.33,3.0,32.832,98.51410739984966
549,0.0,51.07,3.0,21.27,76.146
550,0.1,79.58286139596,1.0,40.119,113.346
551,0.0,62.44,2.0,28.047,82.77
552,0.0,56.91,2.0,27.377,80.662
553,0.0,59.22,1.0,26.001,75.059
554,0.0,72.21,2.0,32.699747700132654,88.739
555,0.5,65.09,0.0,31.251,98.51519623431061
556,0.3,73.24,4.0,29.33,94.695
557,12.2,90.5,0.0,41.974,124.759
558,7.7,65.59,2.0,30.514,101.521
559,0.9,64.65,3.0,22.525,83.717
560,0.7,94.24,2.0,38.527,111.687
561,0.0,97.03,3.0,41.229,116.948
562,0.0,77.86,3.0,31.704,96.419
563,0.1,88.35,1.0,36.993,101.373
564,14.0,81.34,3.0,35.878,127.512
565,4.6,84.37,2.0,38.202,109.782
566,3.3,81.89,0.0,35.189,101.952
567,0.2,80.93,3.0,33.088,102.623
568,0.2,80.31,2.0,36.403,102.626
569,0.0,100.16,0.0,39.941,110.216
570,0.1,83.07,1.0,30.933,93.452
571,0.3,72.28,0.0,29.347,87.177
572,0.0,79.29,0.0,32.6,93.705
573,0.0,88.64,2.0,36.174,109.037
574,0.0,90.93,1.0,40.932,109.256
575,4.9,76.31,0.0,32.643,100.05
576,0.3,79.36,0.0,32.224,94.133
577,0.0,90.67,3.0,35.316,113.604
578,0.0,70.75,0.0,26.424,84.19
579,0.5,104.61,2.0,42.35,119.611
580,0.0,66.06,2.0,25.239,86.752
581,0.0,68.97,0.0,30.78,84.698
582,0.7,83.15,0.0,31.148,98.51913494648642
583,0.0,68.08,4.0,27.548,90.849
584,0.0,95.79,1.0,39.264,98.51941346946917
585,2.8,98.98,2.0,43.38,121.849
586,0.0,76.1,1.0,29.662,90.043
587,0.0,75.8,0.0,29.634,89.621
588,0.0,94.31,1.0,34.868,106.945
589,0.0,77.32,2.0,33.798,97.739
590,0.9,79.2,1.0,32.807,93.239
591,5.1,101.75,1.0,42.478,122.896
592,0.0,65.69,1.0,28.195,79.71
593,0.3,79.58645419387962,2.0,26.95,88.112
594,1.0,82.47,0.0,33.912,97.174
595,0.3,64.08,3.0,25.868,88.933
596,0.0,81.12,2.0,32.059,100.475
597,0.0,78.37,0.0,33.237,92.42
598,0.0,58.26,1.0,23.853,76.491
599,0.1,81.29,1.0,34.597,97.855
600,0.0,74.9,2.0,31.245,95.738
601,0.5,80.67,1.0,29.909,91.664
602,0.0,86.1,6.0,34.885,110.361
603,0.5,76.52,0.0,29.074,88.862
604,3.3,77.07,0.0,32.535,93.931
605,0.5,82.56,3.0,33.449,100.363
606,0.0,113.27,0.0,42.779,123.237
607,0.2,81.14,1.0,31.084,94.121
608,0.0,80.3,2.0,30.889,98.52285646477749
609,7.1,64.86,1.0,30.228,94.951
610,0.0,72.19,0.0,26.113,82.85
611,0.7,54.37,0.0,25.177,71.664
612,0.0,74.3,0.0,27.009,86.923
613,0.0,79.58806833957712,0.0,34.682,97.893
614,0.0,83.51,1.0,37.698,99.336
615,1.5,95.9,1.0,36.68,107.774
616,0.0,80.27,2.0,31.006,100.116
617,0.0,87.51,2.0,39.056,108.268
